GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,TRBL_SUBA,AITS,ANRCA,CBSA,CBSAA,CSAA,METDIVA,MEMI,NECTAA,C_NECTAA,NECTADIVA,URB_AREAA,CDA,STLEG_UPA,STLEG_LOA,ZCTAA,SUBMCDA,SD_ELMA,SD_SECA,SD_UNIA,UR,PCI,PUMAA,GEOID,TRBL_CTA,TRBL_BGA,NAME_E,AMPVE001,AMZME001,AMZME002,AMZME003,AMZME004,AMZME005,AMZME006,AMZME007,AMZME008,NAME_M,AMPVM001,AMZMM001,AMZMM002,AMZMM003,AMZMM004,AMZMM005,AMZMM006,AMZMM007,AMZMM008
"G10100","2016-2020","US",,,,,,,,,,,,,,,,,,"10100",,,,,,,,,,,,,,,,,,,"31000US10100",,,"Aberdeen, SD Micro Area",42864,41527,1715,2061,1287,1550,2357,736,31821,"Aberdeen, SD Micro Area",,288,589,461,283,438,524,307,840
"G10140","2016-2020","US",,,,,,,,,,,,,,,,,,"10140",,,,,,,,,,,,,,,,,,,"31000US10140",,,"Aberdeen, WA Micro Area",73769,70152,4959,5247,3437,3243,4518,3060,45688,"Aberdeen, WA Micro Area",,850,857,845,700,813,891,702,1688
"G10180","2016-2020","US",,,,,,,,,,,,,,,,,,"10180",,,,,,,,,,,,,,,,,,,"31000US10180",,,"Abilene, TX Metro Area",171354,157830,9191,11878,10219,6683,10673,7077,102109,"Abilene, TX Metro Area",,782,899,1405,1392,1021,1209,1349,2117
"G10220","2016-2020","US",,,,,,,,,,,,,,,,,,"10220",,,,,,,,,,,,,,,,,,,"31000US10220",,,"Ada, OK Micro Area",38385,36883,1732,3296,1713,2216,2845,1179,23902,"Ada, OK Micro Area",,282,343,460,315,391,474,311,772
"G10300","2016-2020","US",,,,,,,,,,,,,,,,,,"10300",,,,,,,,,,,,,,,,,,,"31000US10300",,,"Adrian, MI Micro Area",98310,93280,4351,6172,4452,4057,7296,2403,64549,"Adrian, MI Micro Area",,498,634,802,762,539,877,536,1454
"G10380","2016-2020","PR",,,,,,,,,,,,,,,,,,"10380",,,,,,,,,,,,,,,,,,,"31000US10380",,,"Aguadilla-Isabela, PR Metro Area",295172,293121,82657,67257,27487,20543,25370,9447,60360,"Aguadilla-Isabela, PR Metro Area",,422,2780,3265,2172,1807,2314,1235,3554
"G10420","2016-2020","US",,,,,,,,,,,,,,,,,,"10420",,,,,,,,,,,,,,,,,,,"31000US10420",,,"Akron, OH Metro Area",703286,685794,38040,47342,27740,27796,39894,20040,484942,"Akron, OH Metro Area",,908,2215,2426,2143,2579,2391,2020,4649
"G10460","2016-2020","US",,,,,,,,,,,,,,,,,,"10460",,,,,,,,,,,,,,,,,,,"31000US10460",,,"Alamogordo, NM Micro Area",66804,63079,4731,7319,4451,3030,5577,1696,36275,"Alamogordo, NM Micro Area",,401,968,1181,1027,832,1000,597,1680
"G10500","2016-2020","US",,,,,,,,,,,,,,,,,,"10500",,,,,,,,,,,,,,,,,,,"31000US10500",,,"Albany, GA Metro Area",147431,141725,15184,17820,7465,7605,9685,3903,80063,"Albany, GA Metro Area",,858,1521,1449,1118,1083,1354,770,2225
"G10540","2016-2020","US",,,,,,,,,,,,,,,,,,"10540",,,,,,,,,,,,,,,,,,,"31000US10540",,,"Albany-Lebanon, OR Metro Area",127216,125070,6513,8811,4801,8107,9431,3175,84232,"Albany-Lebanon, OR Metro Area",,1226,998,1226,925,1189,1484,645,2068
