GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,TRBL_SUBA,AITS,ANRCA,CBSAA,CSAA,METDIVA,MEMI,NECTAA,C_NECTAA,NECTADIVA,URB_AREAA,CDA,STLEG_UPA,STLEG_LOA,ZCTAA,SUBMCDA,SD_ELMA,SD_SECA,SD_UNIA,UR,PCI,PUMAA,GEOID,TRBL_CTA,TRBL_BGA,NAME_E,AMPVE001,AMZME001,AMZME002,AMZME003,AMZME004,AMZME005,AMZME006,AMZME007,AMZME008,NAME_M,AMPVM001,AMZMM001,AMZMM002,AMZMM003,AMZMM004,AMZMM005,AMZMM006,AMZMM007,AMZMM008
"G010","2016-2020","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US01",,,"Alabama",4893186,4771614,337706,424936,240400,231307,331537,131640,3074088,"Alabama",,1397,8095,8345,6941,6579,8788,5247,14555
"G020","2016-2020","AK",,,"Alaska","02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US02",,,"Alaska",736990,719445,34862,39507,24048,26385,39138,15361,540144,"Alaska",,500,2088,2542,1830,2232,2404,1508,4408
"G040","2016-2020","AZ",,,"Arizona","04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US04",,,"Arizona",7174064,7012999,459315,531213,316070,318856,476612,208968,4701965,"Arizona",,3053,9194,9687,8093,9225,12629,6613,19576
"G050","2016-2020","AR",,,"Arkansas","05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US05",,,"Arkansas",3011873,2923585,196374,273816,157884,170206,234546,93211,1797548,"Arkansas",,981,5407,5886,6067,5434,6071,4200,10911
"G060","2016-2020","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US06",,,"California",39346023,38589882,2174034,2679400,1623588,1587038,2295940,984790,27245092,"California",,3672,24384,28608,19370,20905,22090,16138,62166
"G080","2016-2020","CO",,,"Colorado","08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US08",,,"Colorado",5684926,5563823,258195,286037,183053,191084,304370,141283,4199801,"Colorado",,1118,6636,7053,5439,6173,8135,5803,14778
"G090","2016-2020","CT",,,"Connecticut","09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US09",,,"Connecticut",3570549,3466935,155534,183622,103218,108282,156694,65064,2694521,"Connecticut",,787,5342,5722,4224,4851,5634,3232,10739
"G100","2016-2020","DE",,,"Delaware","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US10",,,"Delaware",967679,941266,48737,58904,31187,31350,51048,23433,696607,"Delaware",,610,3024,3279,2533,2476,3485,2273,5764
"G110","2016-2020","DC",,,"District of Columbia","11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US11",,,"District of Columbia",701974,669089,58140,45251,21778,17490,26248,10788,489394,"District of Columbia",,488,3381,2290,2311,2270,2534,1644,4568
"G120","2016-2020","FL",,,"Florida","12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US12",,,"Florida",21216924,20793628,1220863,1552076,980757,995918,1465862,634559,13943593,"Florida",,2956,19313,18040,17700,15679,19031,13830,46484
"G130","2016-2020","GA",,,"Georgia","13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US13",,,"Georgia",10516579,10238369,658547,803025,474590,474669,662834,291591,6873113,"Georgia",,2300,12644,14282,11050,12484,12423,9012,27812
"G150","2016-2020","HI",,,"Hawaii","15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US15",,,"Hawaii",1420074,1381577,63613,64358,37302,40771,66516,26932,1082085,"Hawaii",,840,2938,3218,2506,2868,3249,2028,5733
"G160","2016-2020","ID",,,"Idaho","16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US16",,,"Idaho",1754367,1722972,86488,119188,76433,87150,130753,55717,1167243,"Idaho",,837,3530,4505,3490,3898,4506,3475,8056
"G170","2016-2020","IL",,,"Illinois","17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US17",,,"Illinois",12716164,12418504,688742,799928,459939,459331,687562,298787,9024215,"Illinois",,2377,10781,13967,9650,9407,11344,8217,25965
"G180","2016-2020","IN",,,"Indiana","18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US18",,,"Indiana",6696893,6491632,391036,447113,273030,283599,415418,173507,4507929,"Indiana",,2169,8305,7919,6911,7689,7593,5310,17317
"G190","2016-2020","IA",,,"Iowa","19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US19",,,"Iowa",3150011,3051284,153914,185176,120157,120498,179679,86078,2205782,"Iowa",,1014,4479,4966,3666,4432,4390,4032,9621
"G200","2016-2020","KS",,,"Kansas","20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US20",,,"Kansas",2912619,2828498,142676,180968,117842,118479,180387,78203,2009943,"Kansas",,997,4045,5339,4220,4014,4713,3204,9160
"G210","2016-2020","KY",,,"Kentucky","21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US21",,,"Kentucky",4461952,4322881,318888,399007,212761,201098,284132,123710,2783285,"Kentucky",,1527,7496,8655,6839,5588,6724,4089,13651
"G220","2016-2020","LA",,,"Louisiana","22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US22",,,"Louisiana",4664616,4532187,379136,466094,234306,214452,297138,138653,2802408,"Louisiana",,1504,8368,10480,5962,7158,7397,5423,16004
"G230","2016-2020","ME",,,"Maine","23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US23",,,"Maine",1340825,1304038,56069,88315,53099,53449,81634,34548,936924,"Maine",,705,1965,3218,2926,2513,3319,2275,6047
"G240","2016-2020","MD",,,"Maryland","24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US24",,,"Maryland",6037624,5894835,261713,269840,160048,173870,258495,111783,4659086,"Maryland",,1643,6429,6889,5830,6347,7177,5219,15171
"G250","2016-2020","MA",,,"Massachusetts","25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US25",,,"Massachusetts",6873003,6637329,306620,346834,194420,188860,271877,119634,5209084,"Massachusetts",,1307,7432,8581,5410,6347,7560,4837,13756
"G260","2016-2020","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US26",,,"Michigan",9973907,9753541,602900,734356,398989,392345,596852,260648,6767451,"Michigan",,1875,10911,10373,7445,7577,9542,7415,20307
"G270","2016-2020","MN",,,"Minnesota","27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US27",,,"Minnesota",5600166,5476956,229343,281842,180972,180373,265991,122874,4215561,"Minnesota",,1148,5649,5483,4904,4960,5119,3719,11703
"G280","2016-2020","MS",,,"Mississippi","28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US28",,,"Mississippi",2981835,2883074,254570,309869,168471,156935,210787,92134,1690308,"Mississippi",,1037,7696,7599,6552,5316,6258,4293,12399
"G290","2016-2020","MO",,,"Missouri","29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US29",,,"Missouri",6124160,5942813,336343,436649,261136,259958,381700,173221,4093806,"Missouri",,1800,7342,8940,6269,6764,9284,5132,17609
"G300","2016-2020","MT",,,"Montana","30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US30",,,"Montana",1061705,1036490,56745,75731,49730,45736,69759,31496,707293,"Montana",,671,2318,3071,2694,2136,2446,1932,5910
"G310","2016-2020","NE",,,"Nebraska","31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US31",,,"Nebraska",1923826,1869467,83023,110797,75760,74249,117037,53985,1354616,"Nebraska",,825,3025,3597,3664,2827,3789,2741,7769
"G320","2016-2020","NV",,,"Nevada","32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US32",,,"Nevada",3030281,2987817,174603,207092,133459,140458,195361,94180,2042664,"Nevada",,1191,6773,6341,5803,5747,5779,4898,10944
"G330","2016-2020","NH",,,"New Hampshire","33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US33",,,"New Hampshire",1355244,1312770,45820,51598,33208,35920,56375,27351,1062498,"New Hampshire",,746,2304,2670,2329,2644,2589,1794,5105
"G340","2016-2020","NJ",,,"New Jersey","34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US34",,,"New Jersey",8885418,8713792,372911,469793,267789,262657,389281,167118,6784243,"New Jersey",,1637,9301,10926,7314,7064,10176,5385,19715
"G350","2016-2020","NM",,,"New Mexico","35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US35",,,"New Mexico",2097021,2053909,166916,214110,116734,110740,142409,59530,1243470,"New Mexico",,876,5452,6433,5424,3655,5347,3447,9096
"G360","2016-2020","NY",,,"New York","36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US36",,,"New York",19514849,19009098,1178863,1402185,745152,702029,997992,444034,13538843,"New York",,2667,17585,16771,12332,11861,13477,10507,36037
"G370","2016-2020","NC",,,"North Carolina","37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US37",,,"North Carolina",10386227,10098330,621154,790785,486549,478749,668399,286301,6766393,"North Carolina",,2221,10517,14576,12172,10299,12165,7655,25358
"G380","2016-2020","ND",,,"North Dakota","38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US38",,,"North Dakota",760394,735842,37403,40088,26269,25092,37211,18992,550787,"North Dakota",,474,1911,2194,1843,1936,2278,1612,4029
"G390","2016-2020","OH",,,"Ohio","39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US39",,,"Ohio",11675275,11350378,695173,850838,461040,457708,689540,306160,7889919,"Ohio",,2174,12250,14345,9322,8494,9802,7340,24015
