source_file,orgname,ein,id_2004,nccs_master_id,nccs_name,nccs_state,nccs_zip,year,ntee1,nteecc,latitude,longitude,nccs_address,City,State,Zip,_merge,dup
_09,"QUALITY HOUSING DEVELOPMENT, INC.",351952722,4356,,,,,,,,,,,,,,master only (1),0
_09,CHAMPLAIN VALLEY MUTUAL HOUSING FED,030325779,12754,,,,,,,,,,,,,,master only (1),0
_09,ywca cdc,742868689,12326,,,,,,,,,,,,,,master only (1),0
_09,cdc of oakland,943134294,1518,,,,,,,,,,,,,,master only (1),0
_09,HOLLY GROVE COMMUNITY DEVELOPMENT CORPORATION,311749501,6747,,,,,,,,,,,,,,master only (1),0
_09,hampshire community action commission,042396698,4941,,,,,,,,,,,,,,master only (1),0
_09,wyandotte economic and cdc,481133025,4444,,,,,,,,,,,,,,master only (1),0
_09,transylvania county hdc,561503905,7331,,,,,,,,,,,,,,master only (1),0
_09,OASIS DEVELOPMENT CORPORATION,223642312,20276,,,,,,,,,,,,,,master only (1),0
_09,ALKEBU-LAN VILLAGE COMMUNITY DEVELOPMENT CENTER,383638700,20147,,,,,,,,,,,,,,master only (1),0
_09,access chautauqua,161444071,9000,,,,,,,,,,,,,,master only (1),0
_09,east harlem business capital corporation,133999276,13608,,,,,,,,,,,,,,master only (1),0
_09,rural opportunities,161501984,8971,,,,,,,,,,,,,,master only (1),0
_09,MISSISSIPPI HOME CORPORATION,640644578,6852,,,,,,,,,,,,,,master only (1),0
_09,HABITAT FOR HUMANITY OF SOUTH COUNTY, 050450845,20317,,,,,,,,,,,,,,master only (1),0
_09,housing plus,742778573,12120,,,,,,,,,,,,,,master only (1),0
_09,"BONITA STREET ""HOUSE OF HOPE"" INC.",760479698,11763,,,,,,,,,,,,,,master only (1),0
_09,"GOOD HOUSING, INC",113067528,8621,,,,,,,,,,,,,,master only (1),0
_09,GATEWAY COMMUNITY EDC,383534303,5989,,,,,,,,,,,,,,master only (1),0
_09,utica community action,166069243,8827,,,,,,,,,,,,,,master only (1),0
_09,METRO INTERFAITH,"166096436
",8863,,,,,,,,,,,,,,master only (1),0
