"VAR","YEAR.2016.ez","YEAR.2017.ez","YEAR.2018.ez","YEAR.2019.ez","YEAR.2020.ez","YEAR.2021.ez","YEAR.2016.pc","YEAR.2017.pc","YEAR.2018.pc","YEAR.2019.pc","YEAR.2020.pc","YEAR.2021.pc"
"accntingfees","","","","","","","accntingfees","accntingfees","accntingfees","accntingfees","accntingfees","accntingfees"
"accntspayableend","","","","","","","accntspayableend","accntspayableend","accntspayableend","accntspayableend","accntspayableend","accntspayableend"
"accntsrcvblend","","","","","","","accntsrcvblend","accntsrcvblend","accntsrcvblend","accntsrcvblend","accntsrcvblend","accntsrcvblend"
"actonbehalfcd","","","","","","","actonbehalfcd","actonbehalfcd","actonbehalfcd","actonbehalfcd","actonbehalfcd","actonbehalfcd"
"actvtynotprevrptcd","actvtynotprevrptcd","actvtynotprevrptcd","actvtynotprevrptcd","actvtynotprevrptcd","actvtynotprevrptcd","actvtynotprevrptcd","","","","","",""
"advrtpromo","","","","","","","advrtpromo","advrtpromo","advrtpromo","advrtpromo","advrtpromo","advrtpromo"
"awarexcessbnftcd","","","","","","","awarexcessbnftcd","awarexcessbnftcd","awarexcessbnftcd","awarexcessbnftcd","awarexcessbnftcd","awarexcessbnftcd"
"basisalesexpnsothr","basisalesexpnsothr","basisalesexpnsothr","basisalesexpnsothr","basisalesexpnsothr","basisalesexpnsothr","basisalesexpnsothr","","","","","",""
"benifitsmembrs","","","","","","","benifitsmembrs","benifitsmembrs","benifitsmembrs","benifitsmembrs","benifitsmembrs","benifitsmembrs"
"capitalstktrstend","","","","","","","capitalstktrstend","capitalstktrstend","capitalstktrstend","capitalstktrstend","capitalstktrstend","capitalstktrstend"
"ceaseoperationscd","","","","","","","ceaseoperationscd","ceaseoperationscd","ceaseoperationscd","ceaseoperationscd","ceaseoperationscd","ceaseoperationscd"
"chngsinorgcd","chngsinorgcd","chngsinorgcd","chngsinorgcd","chngsinorgcd","chngsinorgcd","chngsinorgcd","","","","","",""
"compltschocd","","","","","","","compltschocd","compltschocd","compltschocd","compltschocd","compltschocd","compltschocd"
"compnsatnandothr","","","","","","","compnsatnandothr","compnsatnandothr","compnsatnandothr","compnsatnandothr","compnsatnandothr","compnsatnandothr"
"compnsatncurrofcr","","","","","","","compnsatncurrofcr","compnsatncurrofcr","compnsatncurrofcr","compnsatncurrofcr","compnsatncurrofcr","compnsatncurrofcr"
"conduct5percentcd","","","","","","","conduct5percentcd","conduct5percentcd","conduct5percentcd","conduct5percentcd","conduct5percentcd","conduct5percentcd"
"contractioncd","contractioncd","contractioncd","contractioncd","contractioncd","contractioncd","contractioncd","","","","","",""
"converconventmtng","","","","","","","converconventmtng","converconventmtng","converconventmtng","converconventmtng","converconventmtng","converconventmtng"
"costgoodsold","costgoodsold","costgoodsold","costgoodsold","costgoodsold","costgoodsold","costgoodsold","","","","","",""
"crcounselingqstncd","","","","","","","crcounselingqstncd","crcounselingqstncd","crcounselingqstncd","crcounselingqstncd","crcounselingqstncd","crcounselingqstncd"
"cstbasisecur","","","","","","","cstbasisecur","cstbasisecur","cstbasisecur","cstbasisecur","cstbasisecur","cstbasisecur"
"cstbasisothr","","","","","","","cstbasisothr","cstbasisothr","cstbasisothr","cstbasisothr","cstbasisothr","cstbasisothr"
"currfrmrcvblend","","","","","","","currfrmrcvblend","currfrmrcvblend","currfrmrcvblend","currfrmrcvblend","currfrmrcvblend","currfrmrcvblend"
"deferedrevnuend","","","","","","","deferedrevnuend","deferedrevnuend","deferedrevnuend","deferedrevnuend","deferedrevnuend","deferedrevnuend"
"deprcatndepletn","","","","","","","deprcatndepletn","deprcatndepletn","deprcatndepletn","deprcatndepletn","deprcatndepletn","deprcatndepletn"
"dirbusnreltdcd","","","","","","","dirbusnreltdcd","dirbusnreltdcd","dirbusnreltdcd","dirbusnreltdcd","dirbusnreltdcd","dirbusnreltdcd"
"direxpns","direxpns","direxpns","direxpns","direxpns","direxpns","direxpns","","","","","",""
"distribtodonorcd","","","","","","","distribtodonorcd","distribtodonorcd","distribtodonorcd","distribtodonorcd","distribtodonorcd","distribtodonorcd"
"dnradvisedfundscd","","","","","","","dnradvisedfundscd","dnradvisedfundscd","dnradvisedfundscd","dnradvisedfundscd","dnradvisedfundscd","dnradvisedfundscd"
"duesassesmnts","duesassesmnts","duesassesmnts","duesassesmnts","duesassesmnts","duesassesmnts","duesassesmnts","","","","","",""
"e.file","","","","","e.file","","","","","","",""
"efile","","","","","","efile","","","","","efile","efile"
"EIN","EIN","EIN","EIN","EIN","EIN","EIN","EIN","EIN","EIN","EIN","EIN","EIN"
"elf","elf","elf","elf","elf","","","elf","elf","elf","elf","",""
"engageexcessbnftcd","","","","","","","engageexcessbnftcd","engageexcessbnftcd","engageexcessbnftcd","engageexcessbnftcd","engageexcessbnftcd","engageexcessbnftcd"
"escrwaccntliabend","","","","","","","escrwaccntliabend","escrwaccntliabend","escrwaccntliabend","escrwaccntliabend","escrwaccntliabend","escrwaccntliabend"
"excbushldngscd","","","","","","","excbushldngscd","excbushldngscd","excbushldngscd","excbushldngscd","excbushldngscd","excbushldngscd"
"excds1pct509","","excds1pct509","excds1pct509","","","excds1pct509","","","","","",""
"excds2pct170","","excds2pct170","excds2pct170","","","excds2pct170","","","","","",""
"exceeds1pct509","exceeds1pct509","","","exceeds1pct509","exceeds1pct509","","exceeds1pct509","exceeds1pct509","exceeds1pct509","exceeds1pct509","exceeds1pct509","exceeds1pct509"
"exceeds2pct170","exceeds2pct170","","","exceeds2pct170","exceeds2pct170","","exceeds2pct170","exceeds2pct170","exceeds2pct170","exceeds2pct170","exceeds2pct170","exceeds2pct170"
"exprstmntcd","","","","","","","exprstmntcd","exprstmntcd","exprstmntcd","exprstmntcd","exprstmntcd","exprstmntcd"
"f1096cnt","","","","","","","f1096cnt","f1096cnt","f1096cnt","f1096cnt","f1096cnt","f1096cnt"
"f8282cnt","","","","","","","f8282cnt","f8282cnt","f8282cnt","f8282cnt","f8282cnt","f8282cnt"
"feesforsrvcinvstmgmt","","","","","","","feesforsrvcinvstmgmt","feesforsrvcinvstmgmt","feesforsrvcinvstmgmt","feesforsrvcinvstmgmt","feesforsrvcinvstmgmt","feesforsrvcinvstmgmt"
"feesforsrvclobby","","","","","","","feesforsrvclobby","feesforsrvclobby","feesforsrvclobby","feesforsrvclobby","feesforsrvclobby","feesforsrvclobby"
"feesforsrvcmgmt","","","","","","","feesforsrvcmgmt","feesforsrvcmgmt","feesforsrvcmgmt","feesforsrvcmgmt","feesforsrvcmgmt","feesforsrvcmgmt"
"feesforsrvcothr","","","","","","","feesforsrvcothr","feesforsrvcothr","feesforsrvcothr","feesforsrvcothr","feesforsrvcothr","feesforsrvcothr"
"filedf1098ccd","","","","","","","filedf1098ccd","filedf1098ccd","filedf1098ccd","filedf1098ccd","filedf1098ccd","filedf1098ccd"
"filedf1120polcd","filedf1120polcd","filedf1120polcd","filedf1120polcd","filedf1120polcd","filedf1120polcd","filedf1120polcd","","","","","",""
"filedf720cd","","","","","","","filedf720cd","filedf720cd","filedf720cd","filedf720cd","filedf720cd","filedf720cd"
