"EIN","FORM_2016","FORM_2017","FORM_2018","FORM_2019","FORM_2020","FORM_2021","TOT"
10274725,"pc","pc","pc","pc","pc","pc",6
10275156,"pc","pc","pc","pc","pc","pc",6
10277678,"pc","pc","pc","pc","pc","pc",6
10281875,"pc","pc","pc","pc","pc","pc",6
10287624,"pc","pc","pc","pc","pc","pc",6
10315296,"pc","pc","pc","pc","pc","pc",6
10315732,"pc","pc","pc","pc","pc","pc",6
10315849,"pc","pc","pc","pc","pc","pc",6
10347504,"pc","pc","pc","pc","pc","pc",6
10353284,"pc","pc","pc","pc","pc","pc",6
10355563,"pc","pc","pc","pc","pc","pc",6
10361089,"pc","pc","pc","pc","pc","pc",6
10367546,"","pc","pc","pc","","pc",4
10373230,"pc","pc","pc","pc","pc","pc",6
10376239,"pc","pc","","pc","pc","pc",5
10403876,"pc","pc","","pc","","pc",4
10409428,"pc","pc","pc","pc","pc","pc",6
10418917,"pc","pc","pc","pc","pc","pc",6
10421229,"pc","pc","pc","pc","","pc",5
10424969,"pc","pc","pc","pc","pc","pc",6
10449761,"","pc","pc","pc","","pc",4
10454046,"pc","pc","pc","","","pc",4
10461436,"pc","pc","pc","pc","pc","pc",6
10462712,"pc","","pc","pc","pc","pc",5
10472964,"pc","pc","pc","pc","pc","pc",6
10482400,"pc","pc","pc","pc","pc","pc",6
10485474,"pc","pc","pc","pc","pc","pc",6
10490195,"pc","","pc","pc","pc","pc",5
10493897,"pc","pc","pc","pc","pc","pc",6
10495250,"pc","pc","pc","pc","pc","pc",6
10495262,"pc","pc","pc","pc","pc","pc",6
10525140,"pc","pc","pc","pc","pc","pc",6
10533179,"pc","pc","pc","pc","pc","pc",6
10538683,"pc","pc","pc","pc","","pc",5
10539222,"pc","pc","pc","pc","pc","pc",6
10544468,"pc","pc","pc","pc","pc","pc",6
10559608,"pc","pc","pc","pc","pc","pc",6
10563728,"pc","pc","pc","pc","pc","pc",6
10581489,"","pc","pc","pc","","pc",4
10594671,"pc","pc","pc","pc","","pc",5
10625121,"pc","pc","pc","pc","pc","pc",6
10638984,"pc","pc","pc","pc","pc","pc",6
10660264,"pc","pc","pc","pc","pc","pc",6
10687154,"pc","pc","pc","pc","pc","pc",6
10701611,"pc","pc","pc","pc","pc","pc",6
10714863,"pc","pc","pc","pc","pc","pc",6
10721933,"ez","ez","ez","pc","ez","ez",6
10732253,"pc","pc","pc","pc","pc","pc",6
10740130,"pc","pc","pc","pc","pc","pc",6
10790394,"ez","ez","ez","ez","ez","",5
10793507,"pc","pc","pc","pc","pc","pc",6
10798626,"pc","pc","pc","pc","pc","pc",6
10806304,"pc","pc","pc","pc","pc","pc",6
10815503,"pc","pc","pc","pc","pc","pc",6
10851864,"pc","pc","pc","pc","pc","pc",6
10852709,"","","ez","pc","","pc",3
10863576,"pc","pc","pc","pc","pc","pc",6
10883062,"pc","pc","pc","pc","pc","pc",6
10951147,"pc","pc","pc","pc","pc","pc",6
16020406,"pc","pc","pc","pc","pc","pc",6
16020566,"pc","pc","pc","pc","pc","pc",6
16023748,"pc","pc","pc","pc","pc","pc",6
20271288,"pc","","pc","pc","pc","pc",5
20318035,"pc","","pc","pc","pc","pc",5
20350170,"pc","pc","pc","pc","pc","pc",6
20351932,"pc","pc","pc","pc","pc","pc",6
20364019,"pc","pc","pc","pc","pc","pc",6
20370974,"pc","pc","pc","pc","","",4
20373020,"pc","pc","pc","pc","pc","pc",6
20418158,"pc","pc","pc","pc","pc","",5
20426348,"pc","pc","pc","pc","","pc",5
20427331,"pc","pc","pc","pc","","pc",5
20433505,"pc","pc","pc","pc","pc","pc",6
20444364,"pc","pc","pc","pc","","pc",5
20452666,"pc","pc","pc","pc","","pc",5
20455301,"pc","pc","","pc","","pc",4
20483387,"pc","pc","pc","pc","pc","pc",6
20492339,"pc","pc","pc","pc","pc","pc",6
20502885,"pc","pc","pc","pc","pc","pc",6
20531034,"pc","pc","pc","pc","pc","pc",6
20549245,"pc","pc","pc","pc","pc","pc",6
20591170,"pc","pc","","pc","","pc",4
20620273,"pc","","pc","pc","pc","pc",5
20622034,"pc","pc","pc","pc","pc","pc",6
20650286,"pc","pc","pc","pc","pc","pc",6
20698186,"pc","pc","pc","pc","","pc",5
20749992,"pc","pc","","pc","pc","pc",5
20812143,"pc","pc","pc","pc","pc","pc",6
26013808,"pc","pc","pc","","pc","pc",5
30216254,"pc","pc","pc","pc","pc","pc",6
30216505,"pc","pc","pc","pc","pc","pc",6
30216740,"pc","pc","pc","pc","pc","pc",6
30216837,"pc","pc","pc","pc","pc","pc",6
30264362,"pc","pc","pc","pc","","pc",5
30276709,"pc","pc","pc","pc","pc","pc",6
30280726,"pc","pc","pc","pc","pc","pc",6
30285606,"pc","pc","pc","pc","pc","pc",6
30301520,"pc","pc","pc","pc","pc","pc",6
30301526,"pc","pc","pc","pc","pc","pc",6
30305214,"pc","pc","pc","pc","pc","pc",6
30315075,"pc","pc","pc","pc","pc","pc",6
30318824,"pc","pc","pc","pc","pc","pc",6
30337709,"pc","pc","pc","pc","pc","pc",6
30340615,"pc","pc","pc","pc","pc","pc",6
30347212,"pc","pc","pc","pc","pc","pc",6
30374933,"","pc","pc","pc","pc","pc",5
30403629,"pc","pc","pc","pc","pc","pc",6
30406267,"pc","pc","pc","pc","pc","pc",6
30418327,"pc","pc","pc","pc","pc","",5
30433655,"","pc","pc","pc","pc","pc",5
30433895,"pc","pc","pc","pc","pc","pc",6
30433925,"","pc","","pc","pc","pc",4
30460207,"pc","pc","pc","pc","pc","pc",6
30461881,"pc","pc","pc","pc","pc","pc",6
30463073,"pc","pc","pc","pc","pc","pc",6
30473181,"pc","pc","pc","","pc","pc",5
30494844,"pc","pc","","pc","","pc",4
30496558,"pc","pc","pc","pc","pc","pc",6
30512382,"pc","pc","pc","pc","pc","pc",6
30517961,"pc","pc","pc","pc","pc","pc",6
30522656,"pc","pc","pc","pc","pc","pc",6
30530851,"pc","","pc","pc","pc","pc",5
30551530,"pc","pc","pc","pc","pc","pc",6
30589352,"","","pc","pc","pc","pc",4
30594239,"pc","pc","pc","pc","","pc",5
30596955,"pc","pc","pc","pc","pc","pc",6
36010485,"pc","pc","pc","pc","","pc",5
42104319,"pc","pc","pc","pc","pc","pc",6
42296940,"pc","pc","pc","pc","pc","pc",6
42304133,"pc","pc","pc","pc","pc","pc",6
42313571,"pc","pc","pc","pc","pc","pc",6
42324773,"pc","pc","pc","pc","pc","pc",6
42376180,"pc","pc","pc","pc","pc","pc",6
42378175,"pc","pc","pc","pc","pc","pc",6
42378885,"pc","pc","pc","pc","","pc",5
42382027,"pc","pc","","pc","","pc",4
42383153,"pc","pc","pc","pc","","pc",5
42384972,"pc","pc","pc","pc","pc","pc",6
42385280,"pc","pc","pc","pc","","pc",5
42389659,"pc","pc","pc","pc","pc","pc",6
42391348,"pc","pc","pc","pc","pc","pc",6
42397449,"pc","pc","pc","pc","pc","pc",6
42428915,"pc","pc","pc","pc","","pc",5
42437845,"pc","pc","pc","pc","pc","pc",6
42454675,"pc","pc","pc","pc","pc","pc",6
42455301,"pc","pc","pc","pc","","pc",5
42456134,"pc","pc","pc","pc","pc","",5
