"","ein","tax_pd","currentratio"
"1",10274725,201906,1.48865276433744
"2",10275156,201808,3.20333195522685
"3",10277678,201809,1.7103849056478
"4",10281875,201809,7.1973291706006
"5",10287624,201812,10.0981275562372
"6",10315296,201812,6.09846901521409
"7",10315732,201809,4.75198200641261
"8",10347504,201809,38.760184367563
"9",10353284,201812,14.5948764452505
"10",10355563,201812,8.28640557313081
"11",10367546,201906,59.1898874281241
"12",10376239,201809,9.12418581347076
"13",10403876,201806,30.604125083167
"14",10403876,201906,23.6628242074928
"15",10409428,201906,6.21089108910891
"16",10418917,201806,4.43736135131269
"17",10421229,201906,14.9639062298584
"18",10424969,201809,2.61411500671982
"19",10449761,201909,62.5316161318811
"20",10449761,201809,51.9838842975207
"21",10462712,201806,18.2067135050742
"22",10472964,201806,10.793451049768
"23",10482400,201809,12.8176232903777
"24",10485474,201812,NA
"25",10490195,201806,17.1566495633764
"26",10493897,201809,11.0339508040025
"27",10495250,201906,NA
"28",10495262,201806,1.33861861494532
"29",10525140,201806,23.7283268912203
"30",10533179,201812,1.05204212403187
"31",10538683,201906,55.7506206040546
"32",10539222,201809,17.0118351841029
"33",10544468,201809,15.2560456035144
"34",10563728,201812,18.1310229799852
"35",10581489,201903,0.838104215962467
"36",10594671,201812,0.014837958986559
"37",10638984,201812,152.949134875964
"38",10687154,201812,8.84458474987858
"39",10701611,201812,NA
"40",10714863,201812,0.733071568209383
"41",10721933,201812,NA
"42",10732253,201812,68.2044719642243
"43",10740130,201806,1.5541790999789
"44",10793507,201812,132.989913544669
"45",10806304,201809,3.69465556274256
"46",10815503,201812,21.5619204307508
"47",10851864,201812,0.857089325026933
"48",10852709,201812,NA
"49",10863576,201812,NA
"50",10951147,201812,1.8511430235397
"51",16020406,201810,3.12940810614699
"52",16020566,201812,2.85883015685188
"53",16023748,201809,3.49970215696929
"54",20271288,201906,25.3428093645485
"55",20318035,201803,16.4623897639086
"56",20350170,201809,3.68546460054624
"57",20351932,201806,1.2052790684868
"58",20364019,201812,NA
"59",20370974,201812,NA
"60",20373020,201806,0.260532024203676
"61",20418158,201812,4.38907328730749
"62",20426348,201812,53.7910894988271
"63",20427331,201812,15.6212429339584
"64",20433505,201903,4.82240037063695
"65",20444364,201812,21.2822827716576
"66",20452666,201906,0.780294450736127
"67",20455301,201803,12.5195466138041
"68",20455301,201903,10.7832973240609
"69",20483387,201812,19.4778346121057
"70",20502885,201809,1.13879443585781
"71",20531034,201812,NA
"72",20549245,201812,47.0705051077885
"73",20591170,201803,1.45504075281362
"74",20620273,201812,3.22926596758818
"75",20622034,201812,3.29002595037223
"76",20650286,201806,23.074672355989
"77",20698186,201812,NA
"78",20749992,201806,48.4610371209975
"79",20812143,201812,221.96783919598
"80",30216254,201809,3.17740374887331
"81",30216505,201809,1.94097370798269
"82",30216740,201809,5.26544678068045
"83",30216837,201809,4.37716463088118
"84",30264362,201809,4.80632435189845
"85",30276709,201809,12.9766521609284
"86",30280726,201812,4.85755064921942
"87",30285606,201809,2.99976480820775
"88",30301520,201812,4.15367935458498
"89",30301526,201812,6.36318642031424
"90",30305214,201809,8.02677882798912
"91",30315075,201812,19.4248956990992
"92",30318824,201809,5.74663369057433
"93",30337709,201806,19.7132186759275
"94",30340615,201812,21.0100999160597
"95",30347212,201812,NA
"96",30374933,201809,4.46558177670041
"97",30403629,201806,12.5308134269638
"98",30406267,201806,2.30002612330199
"99",30418327,201806,2.22043684797736
"100",30433655,201812,27.0462834126694
"101",30433895,201809,8.96650548413728
"102",30433925,201806,2.90507529280535
"103",30460207,201812,86.3047910295617
"104",30461881,201812,0.911735626608962
"105",30463073,201806,35.3336557059961
"106",30494844,201906,1.59306322939774
"107",30494844,201806,2.59694685626331
"108",30496558,201812,1.75359947643979
"109",30512382,201906,1.31952876553917
"110",30517961,201812,1.72250025402105
"111",30522656,201906,6.43543892954469
"112",30551530,201812,NA
"113",30589352,201806,NA
"114",30589352,201906,NA
"115",30594239,201906,1.76913580246914
"116",30596955,201806,0.699765515352754
"117",42104319,201812,9.31064675582808
"118",42304133,201808,1.40038924531417
"119",42313571,201812,3.85357698433031
"120",42324773,201809,5.01287439158109
"121",42376180,201809,1.96859513641725
"122",42378175,201809,10.7140502579782
"123",42378885,201809,6.34238836974163
"124",42382027,201806,7.41352705841451
"125",42382027,201906,7.74704952412461
"126",42383153,201812,3.9535377690056
"127",42384972,201809,9.0121925263766
"128",42385280,201809,4.61313340588424
"129",42389659,201806,4.91715888660285
"130",42391348,201809,2.82810200525697
"131",42428915,201906,26.8980879095255
"132",42437845,201806,4.08924959186354
"133",42454675,201806,7.11398149898489
"134",42455301,201806,1.8555279699963
"135",42457732,201806,9.24084387624478
"136",42457732,201906,6.68190430854241
"137",42476258,201806,9.43015768039263
"138",42478888,201812,4.97712739720768
"139",42483221,201812,2.45576406123428
"140",42483322,201906,26.2314489700375
"141",42516093,201906,3.9514671970858
"142",42518368,201806,5.64214753800469
"143",42529221,201806,NA
"144",42529221,201906,NA
"145",42531287,201812,18.9568177199756
"146",42546441,201806,1.98008274932568
"147",42614551,201812,113.084504504505
"148",42622178,201712,0.422912106544995
"149",42622178,201812,0.572628912873703
"150",42622751,201812,217157.642857143
"151",42652919,201812,5.7645093238478
"152",42660283,201812,6.16275271240909
"153",42666507,201812,5.07831841331536
"154",42678309,201906,3.46627229383719
"155",42681632,201812,1.28208157377734
"156",42684781,201812,1.80018541454102
"157",42685432,201809,45.2417407648377
"158",42686893,201812,2.99147407336639
"159",42690210,201812,7.50714897504711
"160",42692763,201806,3.39080810869044
"161",42716278,201812,11.7689762796504
"162",42716728,201706,22.9703834160056
"163",42716728,201806,26.4831061055127
"164",42732718,201812,0.53396110939422
"165",42733078,201812,18.8168714979589
"166",42736725,201812,19.6855977568188
"167",42737054,201806,12.9347953528032
"168",42741009,201806,1.3724501117491
"169",42741543,201812,4.37667585173791
"170",42743779,201812,NA
"171",42748880,201806,3.34751085365396
"172",42752507,201812,8.17726032075011
"173",42755270,201808,7.51249006629877
"174",42755382,201903,25.0691548434595
"175",42760272,201812,3.26820178431662
"176",42761591,201812,1522.52645861601
"177",42762580,201812,0.835983733712965
"178",42774010,201806,3.87861055776892
"179",42777769,201812,5.21547086900523
"180",42859066,201806,2.38611060061459
"181",42898893,201806,3.13648708957603
"182",42921318,201806,3.97486174534705
"183",42921465,201806,4.4485215200112
"184",42925846,201806,4.16671162867377
"185",42933012,201806,86.3167998992887
"186",42944144,201812,0.65698241206265
"187",42961787,201806,113.145833333333
"188",42964630,201812,10.4057536604357
"189",42970982,201806,88.5020679042031
"190",42982308,201812,1.79353068454778
"191",42983365,201906,4.26953364696257
"192",42983365,201806,5.92022870268651
"193",42988263,201812,29.352171174227
"194",43010725,201806,12.5972268441486
"195",43023407,201806,4.05997803449398
"196",43029411,201806,3.28020774361878
"197",43036200,201812,4.63616969892127
"198",43074487,201812,0.613083411433927
"199",43085298,201906,NA
"200",43100105,201812,11.1075368742107
"201",43118543,201906,21.3767070442096
"202",43124357,201812,1.39588631134638
"203",43141970,201812,NA
"204",43159643,201809,4.00767973596941
"205",43172737,201806,11.7682594501255
"206",43176887,201812,0.731501632208923
"207",43206608,201812,10.0715339233038
"208",43216873,201906,NA
"209",43230028,201812,6.22231255186898
"210",43239046,201812,NA
"211",43244024,201906,19.6412449945395
"212",43246555,201812,10.5167257165918
"213",43247717,201906,29.9989125888749
"214",43247717,201806,16.434226343809
"215",43280116,201806,1.91264479812821
"216",43282997,201805,2.18023216689098
"217",43282997,201905,2.15194734185734
"218",43286347,201906,399.659494949495
"219",43289039,201812,2.04311400495804
"220",43290004,201906,NA
"221",43299189,201812,92.3911205073996
"222",43320522,201806,56.3759621077561
"223",43322638,201812,7.31017540207151
"224",43330633,201906,0.722983714079262
"225",43330633,201806,0.219502629879118
"226",43331491,201806,3.90810850547673
"227",43333866,201812,-1166.89742014742
"228",43337726,201812,1.10728568891902
"229",43362851,201809,9.57991275899673
"230",43364974,201806,NA
"231",43370097,201806,3.66461123300799
"232",43371170,201809,31.0988005692214
"233",43408855,201812,11.838507929417
"234",43458096,201906,6.46427020727165
"235",43460139,201812,4.54593709231144
"236",43469536,201812,9.43116174582798
"237",43490920,201812,0.470479801418143
"238",43500087,201906,0.272915961314825
"239",43502138,201906,0.501604207758054
"240",43534715,201812,1579.71689439946
"241",43534734,201812,14.6948367677703
"242",43535025,201812,42.8315151515151
"243",43538884,201812,11.8607709750567
"244",43555681,201812,2.27638833729776
"245",43562853,201806,3.97742614184273
"246",43571892,201812,3.83294643614665
"247",43586322,201812,NA
"248",43611860,201812,10.024655779699
"249",43613194,201812,10.5647514346954
"250",43617019,201806,NA
"251",43617951,201806,4.06079311311716
"252",43627371,201812,9.28094513755832
"253",43627393,201806,19.4968242135083
"254",43635313,201812,34.7058379442934
"255",43669252,201806,2.10278417416789
"256",43728351,201812,NA
"257",43754904,201812,40.5227036395147
"258",46125732,201809,3.20384171478754
"259",46132439,201812,18.2467653927756
"260",46138418,201812,2.29669464558505
"261",50258819,201812,1.64100716258787
"262",50258871,201812,2.40696453427323
"263",50258939,201806,0.00113041724602762
"264",50259094,201812,1.67433396039825
"265",50300152,201812,1.28386001082547
"266",50309695,201809,7.70507290028449
"267",50311985,201806,4.58098061397786
"268",50312991,201809,3.70362444529543
"269",50340202,201812,23.4194165035729
"270",50340915,201812,1.01701065164449
"271",50343709,201909,1.37788037856318
"272",50370157,201812,37.8787266296109
"273",50370946,201808,1.23048767766332
"274",50376075,201806,1.99679256557586
"275",50380608,201812,7.43932939246832
"276",50381201,201812,7.80035746201966
"277",50383354,201812,55.728778916726
