"","ein","tax_pd","months_coh"
"1",10274725,201906,17.2181656156619
"2",10275156,201808,36.3678625568469
"3",10277678,201809,19.7102595414252
"4",10281875,201809,85.0691658509178
"5",10287624,201812,119.12359406953
"6",10315296,201812,71.9528949856957
"7",10315732,201809,51.1681156183701
"8",10347504,201809,463.694076558472
"9",10353284,201812,164.596690092949
"10",10355563,201812,96.4342544725036
"11",10367546,201906,709.571147045326
"12",10376239,201809,105.67446854198
"13",10403876,201806,366.851560037819
"14",10403876,201906,283.63976945245
"15",10409428,201906,74.5306930693069
"16",10418917,201806,51.1089554373692
"17",10421229,201906,179.207336611237
"18",10424969,201809,28.1497931862368
"19",10449761,201909,749.713865175155
"20",10449761,201809,623.386540731995
"21",10462712,201806,193.163466042155
"22",10472964,201806,129.104709770019
"23",10482400,201809,146.399449351841
"24",10485474,201812,NA
"25",10490195,201806,203.990144888226
"26",10493897,201809,132.231436557006
"27",10495250,201906,NA
"28",10495262,201806,15.8012285603978
"29",10525140,201806,277.731639977913
"30",10533179,201812,10.8753552125703
"31",10538683,201906,660.67397600331
"32",10539222,201809,196.456604324956
"33",10544468,201809,182.523757060177
"34",10563728,201812,193.018532246108
"35",10581489,201903,4.21638626355267
"36",10594671,201812,0.178055507838708
"37",10638984,201812,1813.60600375235
"38",10687154,201812,95.3618261291889
"39",10701611,201812,NA
"40",10714863,201812,8.79685881851259
"41",10721933,201812,NA
"42",10732253,201812,817.756037151703
"43",10740130,201806,18.6501491997468
"44",10793507,201812,1582.21242461155
"45",10806304,201809,44.3358667529107
"46",10815503,201812,256.099311995214
"47",10851864,201812,10.1361187877652
"48",10852709,201812,NA
"49",10863576,201812,NA
"50",10951147,201812,2.33234904601418
"51",16020406,201810,34.293656604453
"52",16020566,201812,32.4020053374959
"53",16023748,201809,36.9832365888265
"54",20271288,201906,297.081753994797
"55",20318035,201803,193.995756817894
"56",20350170,201809,43.2985767125273
"57",20351932,201806,13.4575572464002
"58",20364019,201812,NA
"59",20370974,201812,NA
"60",20373020,201806,3.12638429044411
"61",20418158,201812,21.8866171003717
"62",20426348,201812,630.645480540383
"63",20427331,201812,184.700710051013
"64",20433505,201903,54.1971159812365
"65",20444364,201812,240.081741737827
"66",20452666,201906,3.75832389580974
"67",20455301,201803,148.877120406682
"68",20455301,201903,128.040611707515
"69",20483387,201812,233.012787723785
"70",20502885,201809,11.3768160741886
"71",20531034,201812,NA
"72",20549245,201812,564.549571988014
"73",20591170,201803,17.3994376849451
"74",20620273,201812,38.7511916110581
"75",20622034,201812,18.3066734288179
"76",20650286,201806,274.975921975008
