"","ein","tax_pd","lb_to_assets"
"1",10274725,201906,0.53945123574186
"2",10275156,201808,0.00304278611469485
"3",10277678,201809,0.312663935233897
"4",10281875,201809,0.10453121668826
"5",10287624,201812,0.152462992190604
"6",10315296,201812,0.307511606280334
"7",10315732,201809,0.655056157836887
"8",10347504,201809,0.0785336199506327
"9",10353284,201812,0.659131380650368
"10",10355563,201812,0.0434493640380918
"11",10367546,201906,0.173684387287979
"12",10376239,201809,0.801525250651907
"13",10403876,201806,0.181984481483493
"14",10403876,201906,0.156283753610702
"15",10409428,201906,0.103159600324062
"16",10418917,201806,0.432794937459624
"17",10421229,201906,0.390936011979876
"18",10424969,201809,0.409699483864426
"19",10449761,201909,0.326413464635434
"20",10449761,201809,0.361135592520506
"21",10462712,201806,0.89259956142411
"22",10472964,201806,0.0110831006547294
"23",10482400,201809,0.621902869863144
"24",10485474,201812,0.437188641010941
"25",10490195,201806,0.667383822657399
"26",10493897,201809,0.202222665535249
"27",10495250,201906,1.03765810521
"28",10495262,201806,0.380893622184679
"29",10525140,201806,0.599737304192187
"30",10533179,201812,0.862815995127585
"31",10538683,201906,0.68348062151709
"32",10539222,201809,0.000842856533461993
"33",10544468,201809,0
"34",10563728,201812,0.917304364398704
"35",10581489,201903,0.057136315352637
"36",10594671,201812,0.992730829507942
"37",10638984,201812,0.00296983388569182
"38",10687154,201812,0.441077636995767
"39",10701611,201812,0
"40",10714863,201812,0.88291010794406
"41",10721933,201812,0.857659045136832
"42",10732253,201812,0.0581685895598388
"43",10740130,201806,0.860945181464714
"44",10793507,201812,0.0255572564616197
"45",10806304,201809,0.758300377526848
"46",10815503,201812,0.000660420016652931
"47",10851864,201812,0.983307689929037
"48",10852709,201812,0
"49",10863576,201812,0
"50",10951147,201812,0.179030722592929
"51",16020406,201810,0.560936544831342
"52",16020566,201812,0.349821154097352
"53",16023748,201809,0.142387710041568
"54",20271288,201906,0.636101604609295
"55",20318035,201803,0.0827833433603614
"56",20350170,201809,0.156633521990247
"57",20351932,201806,0.849203421713284
"58",20364019,201812,0
"59",20370974,201812,0.138396330365661
"60",20373020,201806,0.912848411349577
"61",20418158,201812,0.802772119307762
"62",20426348,201812,0.65138033914918
"63",20427331,201812,0.31449359277653
"64",20433505,201903,0.55426414850237
"65",20444364,201812,0.695613678440147
"66",20452666,201906,0.718903545101253
"67",20455301,201803,0.124410713303865
"68",20455301,201903,0.142497295800538
"69",20483387,201812,0
"70",20502885,201809,0.958722821157257
"71",20531034,201812,0
"72",20549245,201812,0.497875188300526
"73",20591170,201803,0.224639675252726
"74",20620273,201812,0.995192058629208
"75",20622034,201812,0.372770349333698
"76",20650286,201806,0.693090399041668
"77",20698186,201812,NA
"78",20749992,201806,0
"79",20812143,201812,0
"80",30216254,201809,0.519756182234127
"81",30216505,201809,0.731871016245904
"82",30216740,201809,0.202901470800319
"83",30216837,201809,0.131783116690222
"84",30264362,201809,0.55550230582999
"85",30276709,201809,0.584609159300382
"86",30280726,201812,0.586923314972127
"87",30285606,201809,0.224540618946827
"88",30301520,201812,0.0781165904273456
"89",30301526,201812,0.0413973964516816
