"","ein","tax_pd","pred_profitmargin"
"1",10274725,201906,0.0329123414592927
"2",10275156,201808,0.00116956470969872
"3",10277678,201809,0.0548709024687506
"4",10281875,201809,0.0626605286126199
"5",10287624,201812,0.762446972894402
"6",10315296,201812,0.0273487299966854
"7",10315732,201809,0.0225261638069985
"8",10347504,201809,-0.0796868393490709
"9",10353284,201812,0.0291291712108011
"10",10355563,201812,-0.0324675723189314
"11",10367546,201906,0.233910042964091
"12",10376239,201809,0.213564092940735
"13",10403876,201806,0.17490598233959
"14",10403876,201906,0.134023834020594
"15",10409428,201906,0.0250895068056717
"16",10418917,201806,0.011191995243479
"17",10421229,201906,0.179063037344198
"18",10424969,201809,0.0113575478872527
"19",10449761,201909,0.33699695416621
"20",10449761,201809,0.269707649534308
"21",10462712,201806,0.0220824464880928
"22",10472964,201806,0.472622603826185
"23",10482400,201809,0.295355787272782
"24",10485474,201812,0.442066001293669
"25",10490195,201806,0.597781226893951
"26",10493897,201809,0.040666387033402
"27",10495250,201906,0.748734417709572
"28",10495262,201806,0.0385150671903208
"29",10525140,201806,0.324145990526274
"30",10533179,201812,0.0945657669210945
"31",10538683,201906,0.0941259542256277
"32",10539222,201809,-0.103332679672044
"33",10544468,201809,0.208467613086728
"34",10563728,201812,0.386986312138583
"35",10581489,201903,0
"36",10594671,201812,0.070240323425919
"37",10638984,201812,0.0917724102275716
"38",10687154,201812,-0.0683482692210923
"39",10701611,201812,0.219685023914366
"40",10714863,201812,-0.0151741383032309
"41",10721933,201812,-0.0688197654468016
"42",10732253,201812,0.119346440398989
"43",10740130,201806,0.190871531228698
"44",10793507,201812,0.0512618485082379
"45",10806304,201809,-0.0116164339345122
"46",10815503,201812,0.459330373792423
"47",10851864,201812,0.441833875818879
"48",10852709,201812,0.0309524432543386
"49",10863576,201812,0.149349058914407
"50",10951147,201812,-0.379333231036019
"51",16020406,201810,0.0330301935035918
"52",16020566,201812,0.0414528958910972
"53",16023748,201809,0.0287295894122146
"54",20271288,201906,0.111607170332951
"55",20318035,201803,-0.0309864379847717
"56",20350170,201809,0.00287136129834536
"57",20351932,201806,0.0284968209293799
"58",20364019,201812,0.215042946684206
"59",20370974,201812,0.677988504596159
"60",20373020,201806,0.074003116458477
"61",20418158,201812,0.174026606337492
"62",20426348,201812,0.401787642829786
"63",20427331,201812,0.522736113252784
"64",20433505,201903,0.0759032632102037
"65",20444364,201812,0.233926008377515
"66",20452666,201906,-0.0841954595691483
"67",20455301,201803,0.244303110886982
"68",20455301,201903,0.236234640494907
"69",20483387,201812,0.722071256038647
"70",20502885,201809,0.219639411010965
"71",20531034,201812,-0.0349433579439779
"72",20549245,201812,0.585613431464139
"73",20591170,201803,0.0301059172545311
"74",20620273,201812,0.351673912778732
"75",20622034,201812,0.366250092839803
"76",20650286,201806,0.0208955477127732
"77",20698186,201812,0
