"","ein","tax_pd","debt_mgmnt_ratio"
"1",10274725,201906,1.74069455495032
"2",10275156,201808,1.73191031523231
"3",10277678,201809,2.31471800465767
"4",10281875,201809,-3.5661317377007
"5",10287624,201812,0.0454420233395381
"6",10315296,201812,2.11425960999247
"7",10315732,201809,13.3353864595099
"8",10347504,201809,2.20422017310264
"9",10353284,201812,-2.94979988369309
"10",10355563,201812,2.17866832975427
"11",10367546,201906,-9.0004661007655
"12",10376239,201809,-5.49607940646082
"13",10403876,201806,-5.01271247539494
"14",10403876,201906,-4.85394338064227
"15",10409428,201906,0.168767754033531
"16",10418917,201806,0.078452885472381
"17",10421229,201906,-6.35120927526596
"18",10424969,201809,1.29590811398033
"19",10449761,201909,0.436499834575118
"20",10449761,201809,0.490455294461761
"21",10462712,201806,0.0188591605993869
"22",10472964,201806,3.48057534195264
"23",10482400,201809,-4.47203367647294
"24",10485474,201812,NA
"25",10490195,201806,3.03976079622627
"26",10493897,201809,-23.7478269903383
"27",10495250,201906,-36.1628131641656
"28",10495262,201806,0.542688953488372
"29",10525140,201806,0.332920301246288
"30",10533179,201812,-6.88243368210449
"31",10538683,201906,NA
"32",10539222,201809,-12.5038512010042
"33",10544468,201809,0.813673336659248
"34",10563728,201812,NA
"35",10581489,201903,0.214002861564649
"36",10594671,201812,NA
"37",10638984,201812,0.23053367542789
"38",10687154,201812,0.385249370277078
"39",10701611,201812,0
"40",10714863,201812,-1.92992610135101
"41",10721933,201812,7.97024442082891
"42",10732253,201812,0.283698211496853
"43",10740130,201806,-3.86819777018041
"44",10793507,201812,4.43289911074422
"45",10806304,201809,5.14856282425905
"46",10815503,201812,0.00219397912536822
"47",10851864,201812,-6.44909260650773
"48",10852709,201812,NA
"49",10863576,201812,0
"50",10951147,201812,3.18449038336212
"51",16020406,201810,0.688739486555509
"52",16020566,201812,0.57987034398126
"53",16023748,201809,0.519485358096645
"54",20271288,201906,1.55018246002406
"55",20318035,201803,1.94176105524446
"56",20350170,201809,0.258903047204722
