"","ein","tax_pd","donation_ratio"
"1",10274725,201906,0.611851954778802
"2",10275156,201808,0.600007429464363
"3",10277678,201809,0.537358916829471
"4",10281875,201809,0.348435785194353
"5",10287624,201812,0.957031385050576
"6",10315296,201812,0.401232076823614
"7",10315732,201809,0.758797531861955
"8",10347504,201809,0.460123037544678
"9",10353284,201812,0
"10",10355563,201812,0.631067863664539
"11",10367546,201906,0
"12",10376239,201809,0.689162032140298
"13",10403876,201806,0
"14",10403876,201906,0
"15",10409428,201906,0.999917196347176
"16",10418917,201806,0.983016385968263
"17",10421229,201906,0
"18",10424969,201809,0.685853186970266
"19",10449761,201909,0
"20",10449761,201809,0
"21",10462712,201806,0.165590739327738
"22",10472964,201806,0.451110816427551
"23",10482400,201809,0
"24",10485474,201812,0
"25",10490195,201806,0.178321010636413
"26",10493897,201809,0.801453098093182
"27",10495250,201906,0.399294787721298
"28",10495262,201806,0.902648966103178
"29",10525140,201806,0.957111876338089
"30",10533179,201812,0
"31",10538683,201906,0
"32",10539222,201809,0.596593349037753
"33",10544468,201809,0.546631200452816
"34",10563728,201812,0.612601762787758
"35",10581489,201903,1
"36",10594671,201812,0
"37",10638984,201812,0.77921087135516
"38",10687154,201812,0
"39",10701611,201812,1
"40",10714863,201812,0
"41",10721933,201812,0
"42",10732253,201812,0.435910168197231
"43",10740130,201806,0
"44",10793507,201812,0.609054806364785
"45",10806304,201809,0.645755618399962
"46",10815503,201812,0
"47",10851864,201812,0
"48",10852709,201812,1
"49",10863576,201812,0
"50",10951147,201812,1.11991525345392
"51",16020406,201810,0.822193558407091
"52",16020566,201812,0.423671091817198
"53",16023748,201809,0.460165251088862
"54",20271288,201906,0.0459217900475503
"55",20318035,201803,0.406913010816843
"56",20350170,201809,0.151831118163015
"57",20351932,201806,0.525212770771518
"58",20364019,201812,0.00402383347519926
"59",20370974,201812,0
"60",20373020,201806,0
"61",20418158,201812,0.0237619340479119
"62",20426348,201812,0.38297967338364
"63",20427331,201812,0.287904714057611
"64",20433505,201903,0.493661089945337
"65",20444364,201812,0.00151036937227218
"66",20452666,201906,0
"67",20455301,201803,0.429165211480907
"68",20455301,201903,0.667526295410851
"69",20483387,201812,0
"70",20502885,201809,0
"71",20531034,201812,0
"72",20549245,201812,0.874163951359932
"73",20591170,201803,0.993664352231769
"74",20620273,201812,0.0121783396051782
"75",20622034,201812,0.756118631678114
"76",20650286,201806,0
"77",20698186,201812,1
"78",20749992,201806,0.890369286456929
"79",20812143,201812,0.464574850068829
"80",30216254,201809,0.93114301310553
"81",30216505,201809,0.882922557048054
"82",30216740,201809,0.895448098778923
"83",30216837,201809,0.960295434435381
"84",30264362,201809,0.44437356504807
"85",30276709,201809,0.974476148359582
"86",30280726,201812,0.279396171862804
"87",30285606,201809,0.785869507325054
"88",30301520,201812,0.337284678775184
"89",30301526,201812,0.606448726925171
"90",30305214,201809,0.0269948248799088
"91",30315075,201812,0.0159394119114244
"92",30318824,201809,0.338271627382716
"93",30337709,201806,0.518937197486053
"94",30340615,201812,0
"95",30347212,201812,0.69350847389612
"96",30374933,201809,0.00417288139011244
"97",30403629,201806,0.494654298969805
"98",30406267,201806,0.0552114160371058
"99",30418327,201806,0.960123403854246
"100",30433655,201812,0
"101",30433895,201809,0
"102",30433925,201806,0
"103",30460207,201812,0.276578629843143
"104",30461881,201812,0.847931046487552
"105",30463073,201806,0
"106",30494844,201906,0.712151970138028
"107",30494844,201806,0.767615583327716
"108",30496558,201812,0.00686699098243949
"109",30512382,201906,0.591819385239431
"110",30517961,201812,0.979829472622169
"111",30522656,201906,0.999793701032192
"112",30551530,201812,0.775258366708097
"113",30589352,201806,0.423366738357815
"114",30589352,201906,0.413145850669491
"115",30594239,201906,1
"116",30596955,201806,0.442831723123328
"117",42104319,201812,0.181649732761875
"118",42304133,201808,0.984995243215394
"119",42313571,201812,0.205388485334104
"120",42324773,201809,0.315266792436477
"121",42376180,201809,0.000583354482065305
"122",42378175,201809,0.977086657323123
"123",42378885,201809,0.97734327187623
"124",42382027,201806,0.92171199985757
"125",42382027,201906,0.909515476810954
"126",42383153,201812,0.999447965295418
"127",42384972,201809,0.594818282765083
"128",42385280,201809,0.83743744643431
"129",42389659,201806,0.00924377293884921
"130",42391348,201809,0.925772947249806
"131",42428915,201906,0
"132",42437845,201806,0.438553466579681
"133",42454675,201806,0.988598377024538
"134",42455301,201806,0.999649624563812
"135",42457732,201806,0.827759152043822
"136",42457732,201906,0.814130259368153
"137",42476258,201806,0.634014308760813
"138",42478888,201812,0.947609818768461
"139",42483221,201812,0.0330504146760899
"140",42483322,201906,0.267629047313302
"141",42516093,201906,0.839776557694008
"142",42518368,201806,0.0535209638830856
"143",42529221,201806,NA
"144",42529221,201906,NA
"145",42531287,201812,0.321152976426027
"146",42546441,201806,0.00156707879652872
"147",42614551,201812,0.0729012833218187
"148",42622178,201712,0.268068693931832
"149",42622178,201812,0.326289499856893
"150",42622751,201812,0
"151",42652919,201812,0.566351375227505
"152",42660283,201812,0.531434547709961
"153",42666507,201812,0.192283474172676
"154",42678309,201906,0.520254121024082
"155",42681632,201812,0.177656831074157
"156",42684781,201812,0.0290803917481411
"157",42685432,201809,0
"158",42686893,201812,0.619376563462543
"159",42690210,201812,0.826976893337187
"160",42692763,201806,0.00182679783066065
"161",42716278,201812,0.412229353668014
"162",42716728,201706,0
"163",42716728,201806,0
"164",42732718,201812,0.358398373141776
"165",42733078,201812,0.175588752685272
"166",42736725,201812,0.737694126307742
"167",42737054,201806,0
"168",42741009,201806,0.79562454313637
"169",42741543,201812,0.327851192771299
"170",42743779,201812,0.0631290552071873
"171",42748880,201806,0.961926207550006
"172",42752507,201812,0.251477442080179
"173",42755270,201808,0.161097277453481
"174",42755382,201903,0.919537927259584
"175",42760272,201812,0.509489479115555
"176",42761591,201812,0
"177",42762580,201812,0.271927312016649
"178",42774010,201806,0.645791094090261
"179",42777769,201812,0.0776323120431993
"180",42859066,201806,1.00866224819046
"181",42898893,201806,0.665777520742042
"182",42921318,201806,0.0349208176975385
"183",42921465,201806,0.454787045145419
"184",42925846,201806,0.981223302387169
"185",42933012,201806,0.231225649330519
"186",42944144,201812,0.355473092706124
"187",42961787,201806,0
"188",42964630,201812,0.580549637157774
"189",42970982,201806,0.586058996768926
"190",42982308,201812,0.648044272076669
"191",42983365,201906,0.822215928570364
"192",42983365,201806,0.821083165228837
"193",42988263,201812,0.51853821637067
"194",43010725,201806,0.743205047599441
"195",43023407,201806,0.116036964876016
"196",43029411,201806,0.189420474223684
"197",43036200,201812,0.90417987944659
"198",43074487,201812,0
"199",43085298,201906,NA
"200",43100105,201812,0
"201",43118543,201906,0.983645427560526
"202",43124357,201812,0.0983444488440645
"203",43141970,201812,NA
"204",43159643,201809,0
"205",43172737,201806,0.994919418340619
"206",43176887,201812,0
"207",43206608,201812,NA
"208",43216873,201906,0
"209",43230028,201812,0
"210",43239046,201812,0.724405239240845
"211",43244024,201906,0.730453924021894
"212",43246555,201812,0.0270934977434906
"213",43247717,201906,0.569152281957594
"214",43247717,201806,0.375579593494712
"215",43280116,201806,0.762574796465802
"216",43282997,201805,0
"217",43282997,201905,0
"218",43286347,201906,0.182612049607944
"219",43289039,201812,0.438396374062116
"220",43290004,201906,NA
"221",43299189,201812,0
"222",43320522,201806,0.817750640571335
"223",43322638,201812,0.65785528667313
"224",43330633,201906,0.0712807387703486
"225",43330633,201806,0.033831984564882
"226",43331491,201806,0.488893958900315
"227",43333866,201812,0.326436075910072
"228",43337726,201812,0.0807536819561373
"229",43362851,201809,0.00438826982524461
"230",43364974,201806,0
